GEO_ID,NAME,S2704_C03_001E,S2704_C03_006E,S2704_C03_002E,S2704_C03_010E,state
0400000US01,Alabama,37.5,20.0,20.4,2.7,01
0400000US02,Alaska,37.1,23.1,14.5,4.3,02
0400000US04,Arizona,38.1,20.5,19.6,2.9,04
0400000US05,Arkansas,43.9,26.6,20.3,3.1,05
0400000US06,California,38.9,26.3,16.0,1.5,06
0400000US08,Colorado,32.8,18.2,15.9,2.4,08
0400000US09,Connecticut,37.2,21.9,18.7,1.4,09
0400000US10,Delaware,40.0,20.8,21.6,2.2,10
0400000US11,District of Columbia,34.2,24.8,13.1,1.2,11
0400000US12,Florida,37.0,17.5,22.2,2.9,12
0400000US13,Georgia,32.4,18.1,16.3,2.6,13
0400000US15,Hawaii,38.5,19.4,20.8,2.8,15
0400000US16,Idaho,35.0,18.5,18.1,2.9,16
0400000US17,Illinois,34.6,19.3,17.4,1.6,17
0400000US18,Indiana,35.4,19.6,18.0,2.1,18
0400000US19,Iowa,36.7,20.0,18.9,2.4,19
0400000US20,Kansas,30.4,14.2,17.7,2.4,20
0400000US21,Kentucky,44.4,27.4,20.0,2.6,21
0400000US22,Louisiana,45.8,30.8,18.8,2.3,22
0400000US23,Maine,39.7,19.9,23.8,3.4,23
0400000US24,Maryland,34.2,19.1,17.1,1.9,24
0400000US25,Massachusetts,37.1,22.9,18.1,1.4,25
0400000US26,Michigan,40.0,23.0,20.2,1.9,26
0400000US27,Minnesota,34.1,18.1,17.5,2.3,27
0400000US28,Mississippi,39.6,23.8,19.9,2.6,28
0400000US29,Missouri,33.2,15.5,19.4,2.7,29
0400000US30,Montana,40.8,21.3,21.1,3.9,30
0400000US31,Nebraska,30.5,14.8,17.3,2.6,31
0400000US32,Nevada,35.8,19.5,17.8,3.2,32
0400000US33,New Hampshire,32.4,13.0,20.7,2.4,33
0400000US34,New Jersey,32.7,17.9,17.4,1.0,34
0400000US35,New Mexico,50.9,33.6,21.1,3.2,35
0400000US36,New York,41.4,27.4,18.4,1.2,36
0400000US37,North Carolina,35.4,18.5,18.9,2.8,37
0400000US38,North Dakota,28.1,12.3,16.7,3.0,38
0400000US39,Ohio,38.0,20.9,19.3,2.2,39
0400000US40,Oklahoma,36.9,19.9,18.4,3.3,40
0400000US41,Oregon,40.4,22.9,20.0,2.8,41
0400000US42,Pennsylvania,38.1,20.7,20.4,1.9,42
0400000US44,Rhode Island,37.9,21.9,19.8,1.9,44
0400000US45,South Carolina,38.1,19.6,20.8,3.2,45
0400000US46,South Dakota,30.8,13.5,18.5,3.6,46
0400000US47,Tennessee,36.2,19.7,18.8,2.6,47
0400000US48,Texas,28.9,16.3,14.0,2.3,48
0400000US49,Utah,21.8,10.7,12.2,1.4,49
0400000US50,Vermont,42.3,23.2,22.6,2.3,50
0400000US51,Virginia,32.6,15.4,17.7,3.3,51
0400000US53,Washington,35.8,20.4,17.3,2.4,53
0400000US54,West Virginia,47.7,26.8,24.1,3.5,54
0400000US55,Wisconsin,34.6,17.7,19.4,2.2,55
0400000US56,Wyoming,30.2,11.8,19.3,3.6,56
0400000US72,Puerto Rico,62.0,46.1,26.5,1.4,72
