GEO_ID,NAME,state
0400000US01,Alabama,01
0400000US02,Alaska,02
0400000US04,Arizona,04
0400000US05,Arkansas,05
0400000US06,California,06
0400000US08,Colorado,08
0400000US09,Connecticut,09
0400000US10,Delaware,10
0400000US11,District of Columbia,11
0400000US12,Florida,12
0400000US13,Georgia,13
0400000US15,Hawaii,15
0400000US16,Idaho,16
0400000US17,Illinois,17
0400000US18,Indiana,18
0400000US19,Iowa,19
0400000US20,Kansas,20
0400000US21,Kentucky,21
0400000US22,Louisiana,22
0400000US23,Maine,23
0400000US24,Maryland,24
0400000US25,Massachusetts,25
0400000US26,Michigan,26
0400000US27,Minnesota,27
0400000US28,Mississippi,28
0400000US29,Missouri,29
0400000US30,Montana,30
0400000US31,Nebraska,31
0400000US32,Nevada,32
0400000US33,New Hampshire,33
0400000US34,New Jersey,34
0400000US35,New Mexico,35
0400000US36,New York,36
0400000US37,North Carolina,37
0400000US38,North Dakota,38
0400000US39,Ohio,39
0400000US40,Oklahoma,40
0400000US41,Oregon,41
0400000US42,Pennsylvania,42
0400000US44,Rhode Island,44
0400000US45,South Carolina,45
0400000US46,South Dakota,46
0400000US47,Tennessee,47
0400000US48,Texas,48
0400000US49,Utah,49
0400000US50,Vermont,50
0400000US51,Virginia,51
0400000US53,Washington,53
0400000US54,West Virginia,54
0400000US55,Wisconsin,55
0400000US56,Wyoming,56
0400000US72,Puerto Rico,72
